year,NAME,NAME_CLEAN,FIRMFIND,Location ,Incentive_Type ,Term ,Projected_Jobs,Projected_New_State_Tax_Revenue_Over_Term ,Projected_Capital_Investment,Projected_New_State_Wages ,Maximum_Cap_Incentive
2015,Black Diamond Inc.,Black Diamond Inc.,,Salt Lake City,EDTIF,7,160," $2,354,979 "," $7,760,000 "," $48,404,120 "," $353,247 "
2015,CHG Healthcare,CHG Healthcare,,Salt Lake City,EDTIF,10,503," $8,533,833 "," $9,281,086 "," $219,032,816 "," $1,706,767 "
2015,Connolly,Connolly,,Salt Lake city,EDTIF,5,145," $2,601,753 "," $385,000 "," $48,266,900 "," $520,351 "
2015,Consumer United,Consumer United,,,EDTIF,7,400," $5,268,757 "," $900,000 "," $121,744,108 "," $1,053,751 "
2015,CSM Bakery,CSM Bakery,,Ogden,EDTIF,6,100," $1,567,620 "," $30,400,000 "," $12,582,742 "," $313,524 "
2015,JSI Store Fixtures,JSI Store Fixtures,,Payson,EDTIF,6,87," $3,723,341 "," $1,050,000 "," $15,981,063 "," $558,501 "
2015,Oemeta,Oemeta,,Salt Lake City,EDTIF,7,58," $567,232 "," $5,250,000 "," $12,664,552 "," $113,447 "
2015,Overstock,Overstock,,Salt Lake City,EDTIF,10,333," $11,406,214 "," $2,650,644 "," $300,843,588 "," $2,281,243 "
2015,Prosper Funding LLC,Prosper Funding LLC,,Salt Lake City,EDTIF,5,539," $4,628,766 "," $10,000,000 "," $118,653,203 "," $925,753 "
2015,Young Living,Young Living,,Spanish Fork,EDTIF,7,445," $43,769,871 "," $89,000,000 "," $174,461,476 "," $8,753,974 "
2015,"The Goldman Sachs Group, Inc.","The Goldman Sachs Group, Inc.",,Salt Lake City,EDTIF,20,350," $43,524,587 "," $40,000,000 "," $1,111,558,393 "," $13,057,377 "
2015,The Proctor & Gamble Company,The Proctor & Gamble Company,,Bear River City,EDTIF,20,200," $37,155,384 "," $400,000,000 "," $197,854,508 "," $11,146,615 "
2015,Traeger Grills,Traeger Grills,,Springville,EDTIF,7,164," $2,517,685 "," $5,204,125 "," $44,613,464 "," $503,537 "
2015,Health Catalyst,Health Catalyst,,Salt Lake City,EDTIF,5,291," $3,530,888 "," $7,600,000 "," $67,335,446 "," $706,178 "
2015,Prime Inc,Prime Inc,,Salt Lake City,EDTIF,5,129," $2,083,405 "," $40,000,000 "," $36,146,090 "," $312,511 "
2015,Viracon,Viracon,,St. George,EDTIF,10,300," $7,091,964 "," $2,200,000 "," $118,628,713 "," $1,418,393 "
2015,EMC Corporation,EMC Corporation,,Salt Lake City,EDTIF,10,700," $15,492,764 "," $62,000,000 "," $365,290,554 "," $3,873,191 "
